id,market_hash_name,avg_price
1396486654,Sticker | NAF (Foil) | Boston 2018,28.82
1402531329,Sticker | Nifty (Foil) | Boston 2018,11.13
1404478844,Sticker | fnx (Foil) | Boston 2018,48.85
1417256251,Sticker | keshandr (Foil) | Boston 2018,39.51
1417973819,Sticker | jks (Foil) | Boston 2018,32.77
1420401651,Sticker | XANTARES | Boston 2018,4.57
1421058954,Sticker | ELEAGUE (Gold) | Boston 2018,0.0
1426241282,Sticker | AmaNEk (Gold) | Boston 2018,143.92
1426247583,Sticker | ngiN (Gold) | Boston 2018,0.0
1426249698,Sticker | paz (Gold) | Boston 2018,0.0
1426312283,Sticker | oskar (Gold) | Boston 2018,0.0
1426316600,Sticker | suNny (Gold) | Boston 2018,159.82
1426319881,Sticker | karrigan (Gold) | Boston 2018,120.01
1426322667,Sticker | Kvik (Gold) | Boston 2018,0.0
1426329885,Sticker | XANTARES (Gold) | Boston 2018,0.0
1426351224,Sticker | dimasick (Gold) | Boston 2018,0.0
1426352800,Sticker | Stewie2K (Gold) | Boston 2018,350.0
1426377672,Sticker | MAJ3R (Gold) | Boston 2018,214.6
1426382334,Sticker | Nifty (Gold) | Boston 2018,0.0
1426433002,Sticker | ShahZaM (Gold) | Boston 2018,110.43
1426489857,Sticker | shox (Gold) | Boston 2018,374.38
1426633754,Sticker | Boombl4 (Gold) | Boston 2018,310.02
3033352,Sticker | hazed | Cluj-Napoca 2015,7.1
3066914,Sticker | JW (Foil) | Cologne 2015,18.36
3083184,Sticker | gob b (Foil) | Cologne 2015,13.32
3088992,Sticker | FalleN | Cologne 2015,19.01
3195837,Sticker | shroud (Foil) | Cluj-Napoca 2015,100.0
3219255,Sticker | jkaem (Gold) | MLG Columbus 2016,0.0
3219310,Sticker | adreN (Gold) | MLG Columbus 2016,0.0
3262957,Sticker | Hiko (Foil) | Cluj-Napoca 2015,27.24
3281561,Sticker | steel (Gold) | Cologne 2015,0.0
3303083,Sticker | dupreeh (Gold) | Cologne 2015,0.0
3319607,Sticker | Maikelele (Gold) | MLG Columbus 2016,0.0
3322734,Sticker | friberg (Foil) | MLG Columbus 2016,14.56
3349169,Sticker | coldzera | Cologne 2015,8.88
3377103,Sticker | Fnatic (Gold) | DreamHack 2014,0.0
3377104,Sticker | HellRaisers (Gold) | DreamHack 2014,0.0
3452746,Sticker | ScreaM (Foil) | MLG Columbus 2016,65.09
3468568,Sticker | seized (Gold) | MLG Columbus 2016,0.0
3470892,Sticker | peet (Gold) | Cologne 2015,0.0
3472240,Sticker | hazed (Gold) | Cologne 2015,0.0
3487056,Sticker | Team Immunity (Gold) | Cologne 2015,0.0
3487057,Sticker | USTILO (Gold) | Cologne 2015,0.0
3492008,Sticker | flusha (Gold) | Cluj-Napoca 2015,0.0
3493781,Sticker | byali (Gold) | MLG Columbus 2016,0.0
